,parameter,count,doi
318, employment in mining/quarrying/o&g extraction,1,'10.1016/j.ref.2022.02.002'
319,farming-dependent counties,1,'10.1016/j.ref.2022.02.002'
320,persistent-poverty counties,1,'10.1016/j.ref.2022.02.002'
321,rural-urban continuum code,1,'10.1016/j.ref.2022.02.002'
322,technical generation potential for pv and wind,1,'10.1016/j.ref.2022.02.002'
323,levelized cost of energy for pv/wind/geothermal/hydropower,1,'10.1016/j.ref.2022.02.002'
324,capital cost for geothermal/hydropower,1,'10.1016/j.ref.2022.02.002'
325,utility service area,1,'10.1016/j.ref.2022.02.002'
326,cost savings estimates for solar-plus-storage,1,'10.1016/j.ref.2022.02.002'
327,distributional employment impacts: skills and educational level,1,'10.1016/j.enpol.2021.112158'
328,assessment based on distribution by gender,1,'10.1016/j.enpol.2021.112158'
329,education & skill requirement,1,'10.1016/j.enpol.2021.112158'
330,spatial distribution of job gains and losses (inter-regional inequalities),1,'10.1016/j.enpol.2021.112158'
331,local economy and identity,1,'10.1016/j.enpol.2021.112158'
332,land loss/acquisation and compensation,1,'10.1016/j.enpol.2021.112158'
333,closing of thermal power plants and mining and deployment of res,1,'10.1016/j.enpol.2021.112158'
334,availability of the means of energy production,1,'10.1016/j.erss.2021.102075'
335,availability of technologies,1,'10.1016/j.erss.2021.102075'
336,availability of professional expertise,1,'10.1016/j.erss.2021.102075'
337,availability of financial resources,1,'10.1016/j.erss.2021.102075'
338,cost of exploration,1,'10.1016/j.erss.2021.102075'
339,cost of extraction,1,'10.1016/j.erss.2021.102075'
340,power balance,1,'10.1016/j.erss.2021.102075'
341,"decentralized energy systems,",1,'10.1016/j.erss.2021.102075'
